N=14: closed subgroup classes = 2866 (orbit-partition decomposition, a(14)=a(13)+f(14)=1316+1550; IR canonical form)
  orders: 1(x1) 2(x7) 3(x3) 4(x43) 5(x1) 6(x30) 7(x1) 8(x138) 9(x3) 10(x7) 12(x79) 14(x3) 16(x194) 18(x17) 20(x18) 21(x1) 22(x1) 24(x128) 26(x1) 28(x4) 30(x3) 32(x182) 36(x38) 40(x24) 42(x2) 44(x1) 48(x157) 52(x1) 56(x4) 60(x10) 64(x138) 72(x53) 78(x1) 80(x21) 84(x3) 96(x135) 100(x1) 108(x3) 112(x4) 120(x15) 128(x87) 132(x1) 140(x1) 144(x75) 160(x11) 168(x4) 180(x3) 192(x102) 196(x1) 200(x5) 216(x12) 224(x1) 240(x22) 256(x45) 280(x1) 288(x85) 320(x5) 336(x4) 360(x6) 384(x75) 392(x1) 400(x6) 432(x23) 480(x29) 504(x1) 512(x21) 576(x67) 600(x1) 640(x4) 648(x1) 672(x3) 720(x17) 768(x44) 800(x4) 864(x19) 960(x22) 1008(x1) 1024(x8) 1152(x45) 1200(x2) 1280(x3) 1296(x4) 1440(x18) 1536(x19) 1600(x1) 1680(x1) 1728(x17) 1792(x1) 1920(x12) 2016(x1) 2048(x1) 2160(x5) 2304(x32) 2400(x3) 2560(x1) 2592(x8) 2880(x23) 3072(x11) 3360(x1) 3456(x16) 3840(x6) 4320(x10) 4608(x24) 4800(x3) 5040(x2) 5184(x9) 5760(x24) 6144(x4) 6912(x13) 7200(x2) 7680(x5) 7776(x1) 8640(x11) 9216(x11) 9600(x1) 10080(x5) 10368(x6) 11520(x14) 12960(x1) 13824(x5) 14400(x2) 15120(x1) 15360(x3) 15552(x1) 17280(x7) 18432(x3) 20160(x4) 20736(x2) 23040(x6) 25920(x2) 27648(x5) 28800(x6) 30240(x3) 30720(x1) 31104(x2) 34560(x7) 40320(x5) 41472(x3) 43200(x1) 46080(x4) 50400(x1) 51840(x4) 55296(x2) 57600(x6) 60480(x3) 62208(x1) 69120(x4) 70560(x1) 80640(x4) 82944(x2) 86400(x2) 92160(x3) 100800(x1) 103680(x2) 115200(x4) 120960(x4) 138240(x2) 155520(x1) 161280(x4) 165888(x1) 172800(x2) 181440(x1) 230400(x1) 241920(x6) 276480(x1) 322560(x4) 345600(x1) 362880(x2) 403200(x1) 414720(x1) 483840(x2) 518400(x2) 604800(x1) 645120(x2) 691200(x1) 725760(x3) 829440(x1) 967680(x1) 1036800(x3) 1209600(x1) 1451520(x3) 1935360(x2) 2073600(x1) 2177280(x1) 2903040(x2) 3628800(x3) 4354560(x1) 4838400(x1) 7257600(x2) 8709120(x1) 14515200(x2) 21772800(x1) 25401600(x1) 29030400(x2) 39916800(x1) 43545600(x1) 50803200(x1) 79833600(x1) 87091200(x1) 239500800(x1) 479001600(x1) 958003200(x1) 6227020800(x1) 87178291200(x1)
--- order 1 (x1) ---
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90
0 1 2 3 4 5 6 7 8 9 6 7 8 9 10 11 12 13 14 15 15 11 12 13 14 15 15 16 11 12 13 14 15 15 16 17 11 12 13 14 15 15 16 17 17 11 12 13 14 15 15 16 17 17 17 11 12 13 14 15 15 17 16 16 16 16 11 12 13 14 15 15 17 16 16 16 16 17 11 12 13 14 15 15 17 16 16 16 16 17 17
--- order 2400 (x3) ---
0 0 1 1 0 1 1 1 0 0 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 3 4 2 2 2 2 2 4 3 4 2 2 2 2 2 4 4 3 3 5 5 5 5 5 6 6 6 6 6 5 5 5 5 5 6 6 6 6 6 7 5 5 5 5 5 6 6 6 6 6 7 7 5 5 5 5 5 6 6 6 6 6 7 7 7
0 1 2 1 2 3 4 5 6 6 4 5 6 6 7 4 5 6 6 7 8 4 5 6 6 8 7 8 4 5 6 6 8 8 7 7 9 10 11 11 12 12 12 12 12 9 10 11 11 12 12 12 12 12 13 9 10 11 11 12 12 12 12 12 13 13 9 10 11 11 12 12 12 12 12 13 13 13 9 10 11 11 12 12 12 12 12 13 13 13 13
0 1 2 2 1 3 4 4 5 5 4 4 5 5 6 4 4 5 5 6 7 4 4 5 5 7 6 7 4 4 5 5 7 7 6 6 8 8 9 9 10 10 10 10 10 8 8 9 9 10 10 10 10 10 11 8 8 9 9 10 10 10 10 10 11 11 8 8 9 9 10 10 10 10 10 11 11 11 8 8 9 9 10 10 10 10 10 11 11 11 11
--- order 2560 (x1) ---
0 1 1 1 1 0 1 1 2 2 1 1 2 2 0 2 2 1 1 2 2 2 2 1 1 2 2 0 2 2 2 2 1 1 1 1 2 2 2 2 1 1 1 1 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 5 5 3 3 3 3 3 3 3 3 3 3 5 5 4
--- order 2592 (x8) ---
0 0 0 1 1 1 1 1 1 2 3 4 4 5 5 3 4 4 5 5 6 3 4 4 5 5 6 6 4 3 4 5 5 7 7 7 4 3 4 5 5 7 7 7 6 4 3 4 5 5 7 7 7 6 6 4 4 3 5 5 7 7 7 7 7 7 4 4 3 5 5 7 7 7 7 7 7 6 4 4 3 5 5 7 7 7 7 7 7 6 6
0 0 1 0 1 2 0 1 2 2 0 2 1 1 1 0 2 1 1 1 2 3 4 4 4 4 4 4 5 6 7 7 7 6 6 8 5 6 7 7 7 6 6 8 9 5 6 7 7 7 6 6 8 9 9 5 7 6 6 6 7 7 8 10 10 10 5 7 6 6 6 7 7 8 10 10 10 9 5 7 6 6 6 7 7 8 10 10 10 9 9
0 0 1 2 3 4 2 4 3 5 6 7 7 8 8 6 7 7 8 8 9 6 7 7 8 8 9 9 6 7 7 8 8 10 10 10 6 7 7 8 8 10 10 10 9 6 7 7 8 8 10 10 10 9 9 6 7 7 8 8 10 10 10 10 10 10 6 7 7 8 8 10 10 10 10 10 10 9 6 7 7 8 8 10 10 10 10 10 10 9 9
0 1 1 1 1 2 1 1 2 2 3 3 4 4 4 3 3 4 4 4 5 3 3 4 4 4 5 5 6 6 7 7 7 8 8 8 6 6 7 7 7 8 8 8 9 6 6 7 7 7 8 8 8 9 9 10 10 11 11 11 12 12 12 13 13 13 10 10 11 11 11 12 12 12 13 13 13 14 10 10 11 11 11 12 12 12 13 13 13 14 14
0 1 1 1 1 2 1 1 2 2 3 3 4 4 4 3 3 4 4 4 5 3 3 4 4 4 5 5 6 7 8 8 8 9 9 9 6 7 8 8 8 9 9 9 10 6 7 8 8 8 9 9 9 10 10 7 6 8 8 8 9 9 9 11 11 11 7 6 8 8 8 9 9 9 11 11 11 10 7 6 8 8 8 9 9 9 11 11 11 10 10
0 1 2 1 2 3 1 2 3 3 2 1 4 4 4 2 1 4 4 4 3 2 1 4 4 4 3 3 5 6 7 7 7 8 8 8 5 6 7 7 7 8 8 8 9 5 6 7 7 7 8 8 8 9 9 6 5 8 8 8 7 7 7 10 10 10 6 5 8 8 8 7 7 7 10 10 10 9 6 5 8 8 8 7 7 7 10 10 10 9 9
0 1 2 1 2 3 1 2 3 3 4 5 6 6 6 4 5 6 6 6 7 4 5 6 6 6 7 7 8 9 10 10 10 11 11 11 8 9 10 10 10 11 11 11 12 8 9 10 10 10 11 11 11 12 13 8 9 10 10 10 11 11 11 12 13 13 8 9 10 10 10 11 11 11 13 12 12 12 8 9 10 10 10 11 11 11 13 12 12 12 13
0 1 2 3 4 5 3 4 5 6 7 8 9 10 10 7 8 9 10 10 11 7 8 9 10 10 11 11 7 8 9 10 10 12 12 12 7 8 9 10 10 12 12 12 11 7 8 9 10 10 12 12 12 11 11 7 8 9 10 10 12 12 12 12 12 12 7 8 9 10 10 12 12 12 12 12 12 11 7 8 9 10 10 12 12 12 12 12 12 11 11
--- order 2880 (x23) ---
0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 2 2 2 3 4 4 4 4 5 5 5 5 4 3 4 4 4 5 5 5 5 6 4 4 3 4 4 5 5 5 5 6 6 4 4 4 3 4 5 5 5 5 6 6 6 4 4 4 4 3 5 5 5 5 6 6 6 6
0 0 0 0 0 0 1 1 1 1 1 1 1 1 2 1 1 1 1 2 3 1 1 1 1 2 3 3 1 1 1 1 3 2 3 3 1 1 1 1 3 2 3 3 3 1 1 1 1 3 3 2 3 2 3 1 1 1 1 3 3 2 3 3 2 3 1 1 1 1 3 3 3 2 2 3 3 2 1 1 1 1 3 3 3 2 3 2 2 3 3
0 0 0 1 2 3 1 2 3 4 2 3 1 5 5 2 3 1 5 5 4 3 1 2 5 5 5 5 3 1 2 5 5 5 5 4 6 6 6 7 7 7 7 7 7 6 6 6 7 7 7 7 7 7 8 6 6 6 7 7 7 7 7 7 8 8 6 6 6 7 7 7 7 7 7 8 8 8 6 6 6 7 7 7 7 7 7 8 8 8 8
0 0 1 0 1 1 0 1 1 1 2 3 4 4 4 2 4 3 4 4 5 2 4 4 3 4 5 5 2 4 4 4 3 5 5 5 6 7 7 7 7 8 8 8 8 6 7 7 7 7 8 8 8 8 9 6 7 7 7 7 8 8 8 8 9 9 6 7 7 7 7 8 8 8 8 9 9 9 6 7 7 7 7 8 8 8 8 9 9 9 9
0 0 1 1 0 1 1 1 0 0 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 3 3 4 4 4 4 4 5 5 5 4 4 4 4 4 5 5 5 6 4 4 4 4 4 5 5 5 7 7 4 4 4 4 4 5 5 5 7 7 6 4 4 4 4 4 5 5 5 7 7 7 7 4 4 4 4 4 5 5 5 7 7 7 7 6
0 0 1 2 3 3 2 3 3 4 2 3 3 5 6 2 3 3 5 6 6 2 3 3 6 5 4 5 2 3 3 6 5 5 4 6 7 8 8 9 9 9 9 9 9 7 8 8 9 9 9 9 9 9 10 7 8 8 9 9 9 9 9 9 10 10 7 8 8 9 9 9 9 9 9 10 10 10 7 8 8 9 9 9 9 9 9 10 10 10 10
0 0 1 2 3 3 4 5 6 7 4 5 6 7 8 4 6 5 7 9 10 4 6 5 7 10 9 8 11 12 12 13 14 14 14 14 11 12 12 13 14 14 14 14 15 11 12 12 13 14 14 14 14 15 15 11 12 12 13 14 14 14 14 15 15 15 11 12 12 13 14 14 14 14 15 15 15 15 11 12 12 13 14 14 14 14 15 15 15 15 15
0 0 1 2 3 3 4 5 6 7 4 6 5 7 8 9 10 10 11 12 12 9 10 10 11 12 12 13 14 15 15 16 17 17 18 18 14 15 15 16 17 17 18 18 19 14 15 15 16 17 17 18 18 19 19 14 15 15 16 17 17 18 18 19 19 19 14 15 15 16 17 17 18 18 19 19 19 19 14 15 15 16 17 17 18 18 19 19 19 19 19
0 1 1 1 1 0 2 3 4 5 4 5 3 2 6 5 4 2 3 6 7 3 2 5 4 7 6 6 8 8 8 8 9 9 9 9 8 8 8 8 9 9 9 9 10 8 8 8 8 9 9 9 9 10 10 8 8 8 8 9 9 9 9 10 10 10 8 8 8 8 9 9 9 9 10 10 10 10 8 8 8 8 9 9 9 9 10 10 10 10 10
0 1 1 1 1 2 1 1 2 3 1 1 3 2 3 1 1 3 3 2 2 4 4 5 5 5 5 5 4 4 5 5 5 5 5 6 4 4 5 5 5 5 5 6 6 7 7 8 8 8 8 8 9 9 9 7 7 8 8 8 8 8 9 9 9 10 7 7 8 8 8 8 8 9 9 9 10 10 7 7 8 8 8 8 8 9 9 9 10 10 10
0 1 1 1 1 2 1 1 3 4 1 1 3 4 4 1 1 3 4 4 4 1 1 3 4 4 4 4 1 1 3 4 4 4 4 4 1 1 4 3 2 3 3 3 3 1 1 4 3 3 2 3 3 3 4 1 1 4 3 3 3 2 3 3 4 4 1 1 4 3 3 3 3 2 3 4 4 4 1 1 4 3 3 3 3 3 2 4 4 4 4
0 1 1 1 1 2 3 3 4 5 3 3 5 4 6 7 8 9 9 10 10 8 7 9 9 10 10 11 12 12 13 13 14 14 15 15 12 12 13 13 14 14 15 15 16 12 12 13 13 14 14 15 15 16 16 12 12 13 13 14 14 15 15 16 16 16 12 12 13 13 14 14 15 15 16 16 16 16 12 12 13 13 14 14 15 15 16 16 16 16 16
0 1 1 1 1 2 3 4 5 6 3 4 6 5 7 4 3 5 6 8 9 4 3 6 5 9 8 7 10 10 11 11 12 12 12 12 10 10 11 11 12 12 12 12 13 10 10 11 11 12 12 12 12 13 13 10 10 11 11 12 12 12 12 13 13 13 10 10 11 11 12 12 12 12 13 13 13 13 10 10 11 11 12 12 12 12 13 13 13 13 13
0 1 2 1 2 3 1 2 4 5 1 2 5 4 3 6 7 8 8 8 8 6 7 8 8 8 8 9 6 7 8 8 8 8 9 9 10 11 12 12 12 12 13 13 13 10 11 12 12 12 12 13 13 13 14 10 11 12 12 12 12 13 13 13 14 14 10 11 12 12 12 12 13 13 13 14 14 14 10 11 12 12 12 12 13 13 13 14 14 14 14
0 1 2 1 2 3 2 1 4 5 2 1 5 4 3 6 6 7 7 7 7 6 6 7 7 7 7 8 6 6 7 7 7 7 8 8 9 9 10 10 10 10 11 11 11 9 9 10 10 10 10 11 11 11 12 9 9 10 10 10 10 11 11 11 12 12 9 9 10 10 10 10 11 11 11 12 12 12 9 9 10 10 10 10 11 11 11 12 12 12 12
0 1 2 1 2 3 4 5 6 6 4 5 6 6 7 8 9 10 10 11 11 8 9 10 10 11 11 12 8 9 10 10 11 11 12 12 13 14 15 15 16 16 17 17 17 13 14 15 15 16 16 17 17 17 18 13 14 15 15 16 16 17 17 17 18 18 13 14 15 15 16 16 17 17 17 18 18 18 13 14 15 15 16 16 17 17 17 18 18 18 18
0 1 2 2 1 0 3 4 5 6 6 5 4 3 7 5 6 3 4 8 9 4 3 6 5 9 8 7 10 10 10 10 11 11 11 11 10 10 10 10 11 11 11 11 12 10 10 10 10 11 11 11 11 12 12 10 10 10 10 11 11 11 11 12 12 12 10 10 10 10 11 11 11 11 12 12 12 12 10 10 10 10 11 11 11 11 12 12 12 12 12
0 1 2 2 1 3 4 4 5 5 4 4 5 5 6 7 7 8 8 9 9 7 7 8 8 9 9 10 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 14 11 11 12 12 13 13 14 14 14 15 11 11 12 12 13 13 14 14 14 15 15 11 11 12 12 13 13 14 14 14 15 15 15 11 11 12 12 13 13 14 14 14 15 15 15 15
0 1 2 2 1 3 4 5 6 7 4 5 6 7 8 5 4 7 6 9 10 5 4 7 6 10 9 8 11 11 12 12 13 13 13 13 11 11 12 12 13 13 13 13 14 11 11 12 12 13 13 13 13 14 14 11 11 12 12 13 13 13 13 14 14 14 11 11 12 12 13 13 13 13 14 14 14 14 11 11 12 12 13 13 13 13 14 14 14 14 14
0 1 2 2 1 3 4 5 6 7 5 4 7 6 8 9 9 10 10 11 11 9 9 10 10 11 11 12 13 13 14 14 15 15 16 16 13 13 14 14 15 15 16 16 17 13 13 14 14 15 15 16 16 17 17 13 13 14 14 15 15 16 16 17 17 17 13 13 14 14 15 15 16 16 17 17 17 17 13 13 14 14 15 15 16 16 17 17 17 17 17
0 1 2 3 4 5 6 7 8 9 6 7 8 9 10 6 7 8 9 11 12 6 7 8 9 12 11 10 13 14 15 16 17 17 17 17 13 14 15 16 17 17 17 17 18 13 14 15 16 17 17 17 17 18 18 13 14 15 16 17 17 17 17 18 18 18 13 14 15 16 17 17 17 17 18 18 18 18 13 14 15 16 17 17 17 17 18 18 18 18 18
0 1 2 3 4 5 6 7 8 9 6 7 8 9 10 11 12 13 14 15 15 11 12 13 14 15 15 16 17 18 19 20 21 21 22 22 17 18 19 20 21 21 22 22 23 17 18 19 20 21 21 22 22 23 23 17 18 19 20 21 21 22 22 23 23 23 17 18 19 20 21 21 22 22 23 23 23 23 17 18 19 20 21 21 22 22 23 23 23 23 23
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 10 11 12 13 14 15 10 11 12 13 14 15 15 10 11 12 13 14 15 15 15 16 17 18 19 20 21 21 21 21 16 17 18 19 20 21 21 21 21 22 16 17 18 19 20 21 21 21 21 22 22 16 17 18 19 20 21 21 21 21 22 22 22 16 17 18 19 20 21 21 21 21 22 22 22 22
--- order 3072 (x11) ---
0 0 1 2 3 3 2 3 3 1 1 0 0 2 2 3 2 2 0 0 3 3 2 2 0 0 3 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 4 4 4 4 4 4 4 4 6 6 4 4 4 4 4 4 4 4 6 6 5 4 4 4 4 4 4 4 4 6 6 6 6 4 4 4 4 4 4 4 4 6 6 6 6 5
0 1 1 1 1 0 2 2 2 2 2 2 2 2 3 2 2 2 2 4 4 2 2 2 2 4 4 3 5 5 5 5 6 6 6 6 5 5 5 5 6 6 6 6 7 5 5 5 5 6 6 6 6 8 8 5 5 5 5 6 6 6 6 8 8 7 5 5 5 5 6 6 6 6 8 8 8 8 5 5 5 5 6 6 6 6 8 8 8 8 7
0 1 1 1 1 2 1 1 2 3 1 1 4 5 5 1 1 4 5 5 3 1 1 3 2 2 4 4 1 1 5 4 4 2 2 5 1 1 5 4 4 2 2 5 3 6 6 7 7 7 7 7 7 7 7 6 6 7 7 7 7 7 7 7 7 8 6 6 7 7 7 7 7 7 7 7 8 8 6 6 7 7 7 7 7 7 7 7 8 8 8
0 1 1 1 1 2 1 1 3 3 1 1 3 3 2 4 4 5 5 5 5 4 4 5 5 5 5 6 4 4 5 5 5 5 7 7 4 4 5 5 5 5 7 7 6 8 8 9 9 9 9 10 10 10 10 8 8 9 9 9 9 10 10 10 10 11 8 8 9 9 9 9 10 10 10 10 11 11 8 8 9 9 9 9 10 10 10 10 11 11 11
0 1 1 1 1 2 1 1 3 4 1 1 4 3 2 5 5 6 6 6 6 5 5 6 6 6 6 7 5 5 6 6 6 6 8 8 5 5 6 6 6 6 8 8 7 5 5 6 6 6 6 8 8 8 8 5 5 6 6 6 6 8 8 8 8 7 5 5 6 6 6 6 8 8 8 8 8 8 5 5 6 6 6 6 8 8 8 8 8 8 7
0 1 1 1 1 2 3 3 4 4 3 3 4 4 5 6 6 7 7 8 8 6 6 7 7 8 8 9 6 6 7 7 8 8 10 10 6 6 7 7 8 8 10 10 9 6 6 7 7 8 8 10 10 10 10 6 6 7 7 8 8 10 10 10 10 9 6 6 7 7 8 8 10 10 10 10 10 10 6 6 7 7 8 8 10 10 10 10 10 10 9
0 1 2 1 2 3 1 2 4 4 1 2 4 4 3 1 2 5 5 5 5 1 2 5 5 5 5 3 1 2 5 5 5 5 4 4 1 2 5 5 5 5 4 4 3 1 2 5 5 5 5 5 5 5 5 1 2 5 5 5 5 5 5 5 5 3 1 2 5 5 5 5 5 5 5 5 4 4 1 2 5 5 5 5 5 5 5 5 4 4 3
0 1 2 1 2 3 1 2 4 4 1 2 4 4 3 1 2 5 5 5 5 1 2 5 5 5 5 3 1 2 5 5 5 5 4 4 1 2 5 5 5 5 4 4 3 6 7 8 8 8 8 8 8 8 8 6 7 8 8 8 8 8 8 8 8 9 6 7 8 8 8 8 8 8 8 8 9 9 6 7 8 8 8 8 8 8 8 8 9 9 9
0 1 2 1 2 3 1 2 4 4 1 2 4 4 3 2 1 5 5 5 5 2 1 5 5 5 5 3 2 1 5 5 5 5 4 4 2 1 5 5 5 5 4 4 3 6 6 7 7 7 7 7 7 7 7 6 6 7 7 7 7 7 7 7 7 8 6 6 7 7 7 7 7 7 7 7 8 8 6 6 7 7 7 7 7 7 7 7 8 8 8
0 1 2 1 2 3 1 2 4 4 1 2 4 4 3 5 6 7 7 7 7 5 6 7 7 7 7 8 5 6 7 7 7 7 9 9 5 6 7 7 7 7 9 9 8 5 6 7 7 7 7 9 9 9 9 5 6 7 7 7 7 9 9 9 9 8 5 6 7 7 7 7 9 9 9 9 9 9 5 6 7 7 7 7 9 9 9 9 9 9 8
0 1 2 1 2 3 2 1 4 4 2 1 4 4 3 5 5 6 6 6 6 5 5 6 6 6 6 7 5 5 6 6 6 6 8 8 5 5 6 6 6 6 8 8 7 5 5 6 6 6 6 8 8 8 8 5 5 6 6 6 6 8 8 8 8 7 5 5 6 6 6 6 8 8 8 8 8 8 5 5 6 6 6 6 8 8 8 8 8 8 7
--- order 3360 (x1) ---
0 1 1 1 1 2 1 1 2 3 1 1 4 4 3 1 1 4 3 4 2 1 1 3 2 4 3 2 1 1 3 4 2 2 3 4 5 5 6 6 6 6 6 6 6 5 5 6 6 6 6 6 6 6 7 5 5 6 6 6 6 6 6 6 7 7 5 5 6 6 6 6 6 6 6 7 7 7 5 5 6 6 6 6 6 6 6 7 7 7 7
--- order 3456 (x16) ---
0 0 0 1 2 2 2 1 2 3 2 2 1 3 3 4 4 4 5 5 5 4 4 4 5 5 5 6 4 4 4 5 5 5 6 6 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 9 7 7 7 8 8 8 9 9 9 9 10 7 7 7 8 8 8 9 9 9 9 10 10 7 7 7 8 8 8 9 9 9 9 10 10 10
0 0 0 1 2 3 2 3 1 4 3 1 2 4 4 5 5 5 6 6 6 5 5 5 6 6 6 7 5 5 5 6 6 6 7 8 5 5 5 6 6 6 7 8 8 5 5 5 6 6 6 7 8 8 8 5 5 5 6 6 6 8 7 7 7 7 5 5 5 6 6 6 8 7 7 7 7 8 5 5 5 6 6 6 8 7 7 7 7 8 8
0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 4 5 2 2 2 2 2 2 4 5 5 2 2 2 2 2 2 4 5 5 5 2 2 2 2 2 2 5 4 3 4 4 2 2 2 2 2 2 5 4 4 3 4 5 2 2 2 2 2 2 5 4 4 4 3 5 5
0 0 1 0 2 2 0 2 2 1 3 4 4 4 4 3 4 4 4 4 5 3 4 4 4 4 5 5 6 7 7 7 7 8 8 8 6 7 7 7 7 8 8 8 9 6 7 7 7 7 8 8 8 9 10 6 7 7 7 7 8 8 8 9 10 10 6 7 7 7 7 8 8 8 10 9 9 9 6 7 7 7 7 8 8 8 10 9 9 9 10
0 1 1 1 1 2 1 1 2 2 3 3 4 4 4 3 3 4 4 4 5 3 3 4 4 4 5 5 6 6 7 7 7 8 8 8 6 6 7 7 7 8 8 8 9 6 6 7 7 7 8 8 8 10 10 6 6 7 7 7 8 8 8 10 10 9 6 6 7 7 7 8 8 8 10 10 10 10 6 6 7 7 7 8 8 8 10 10 10 10 9
0 1 1 1 1 2 3 3 4 4 3 3 4 4 5 3 3 4 4 5 5 6 6 7 7 8 8 8 6 6 7 7 8 8 8 9 6 6 7 7 8 8 8 9 9 10 10 11 11 12 12 12 13 13 13 10 10 11 11 12 12 12 13 13 13 14 10 10 11 11 12 12 12 13 13 13 14 14 10 10 11 11 12 12 12 13 13 13 14 14 14
0 1 1 1 1 2 3 4 5 5 3 4 5 5 6 3 4 5 5 6 6 4 3 5 5 7 7 7 4 3 5 5 7 7 7 6 4 3 5 5 7 7 7 6 6 8 8 9 9 10 10 10 10 10 10 8 8 9 9 10 10 10 10 10 10 11 8 8 9 9 10 10 10 10 10 10 11 11 8 8 9 9 10 10 10 10 10 10 11 11 11
0 1 2 1 2 3 1 2 3 3 2 1 4 4 4 2 1 4 4 4 3 2 1 4 4 4 3 3 5 5 6 6 6 6 6 6 5 5 6 6 6 6 6 6 7 5 5 6 6 6 6 6 6 8 8 5 5 6 6 6 6 6 6 8 8 7 5 5 6 6 6 6 6 6 8 8 8 8 5 5 6 6 6 6 6 6 8 8 8 8 7
0 1 2 1 2 3 1 2 3 4 1 2 3 4 4 1 2 4 3 3 3 1 2 4 3 3 3 4 5 6 7 7 7 7 7 7 5 6 7 7 7 7 7 7 8 5 6 7 7 7 7 7 7 9 9 5 6 7 7 7 7 7 7 9 9 8 5 6 7 7 7 7 7 7 9 9 9 9 5 6 7 7 7 7 7 7 9 9 9 9 8
0 1 2 1 2 3 4 5 6 6 4 5 6 6 7 4 5 6 6 7 8 4 5 6 6 7 8 8 4 5 6 6 8 7 7 7 4 5 6 6 8 7 7 7 8 9 10 11 11 12 12 12 12 12 12 9 10 11 11 12 12 12 12 12 12 13 9 10 11 11 12 12 12 12 12 12 13 13 9 10 11 11 12 12 12 12 12 12 13 13 13
0 1 2 2 1 0 3 3 3 3 3 3 3 3 4 3 3 3 3 4 4 5 5 5 5 6 6 6 5 5 5 5 6 6 6 7 5 5 5 5 6 6 6 7 7 8 8 8 8 9 9 9 10 10 10 8 8 8 8 9 9 9 10 10 10 11 8 8 8 8 9 9 9 10 10 10 11 11 8 8 8 8 9 9 9 10 10 10 11 11 11
0 1 2 2 1 0 3 4 4 3 3 4 4 3 5 3 4 4 3 5 5 4 3 3 4 6 6 6 4 3 3 4 6 6 6 5 4 3 3 4 6 6 6 5 5 7 7 7 7 8 8 8 8 8 8 7 7 7 7 8 8 8 8 8 8 9 7 7 7 7 8 8 8 8 8 8 9 9 7 7 7 7 8 8 8 8 8 8 9 9 9
0 1 2 2 1 3 4 4 5 5 4 4 5 5 6 4 4 5 5 6 7 4 4 5 5 6 7 7 4 4 5 5 7 6 6 6 4 4 5 5 7 6 6 6 7 8 8 9 9 10 10 10 10 10 10 8 8 9 9 10 10 10 10 10 10 11 8 8 9 9 10 10 10 10 10 10 11 11 8 8 9 9 10 10 10 10 10 10 11 11 11
0 1 2 3 2 2 2 1 3 0 2 3 0 1 2 4 4 4 4 4 4 4 4 4 4 4 4 5 4 4 4 4 4 4 5 5 4 4 4 4 4 4 5 5 5 6 6 6 6 6 6 7 7 7 7 6 6 6 6 6 6 7 7 7 7 8 6 6 6 6 6 6 7 7 7 7 8 8 6 6 6 6 6 6 7 7 7 7 8 8 8
0 1 2 3 2 2 2 1 3 0 2 3 0 1 2 4 5 5 5 4 4 4 5 5 5 4 4 6 4 5 5 5 4 4 6 6 4 5 5 5 4 4 6 6 6 5 4 4 4 5 5 7 7 7 7 5 4 4 4 5 5 7 7 7 7 6 5 4 4 4 5 5 7 7 7 7 6 6 5 4 4 4 5 5 7 7 7 7 6 6 6
0 1 2 3 4 5 3 4 5 6 3 4 5 6 6 7 8 9 10 10 10 7 8 9 10 10 10 11 7 8 9 10 10 10 11 11 7 8 9 10 10 10 11 11 11 12 13 14 15 15 15 16 16 16 16 12 13 14 15 15 15 16 16 16 16 17 12 13 14 15 15 15 16 16 16 16 17 17 12 13 14 15 15 15 16 16 16 16 17 17 17
--- order 3840 (x6) ---
0 0 1 0 1 2 0 2 1 1 3 4 5 5 4 3 4 5 5 4 6 3 5 4 4 5 7 7 3 5 4 4 5 7 7 6 8 9 9 9 9 10 10 10 10 8 9 9 9 9 10 10 10 10 11 8 9 9 9 9 10 10 10 10 11 11 8 9 9 9 9 10 10 10 10 11 11 11 8 9 9 9 9 10 10 10 10 11 11 11 11
0 0 1 0 1 2 0 2 1 2 0 2 2 1 1 3 4 4 4 4 4 3 4 4 4 4 4 5 3 4 4 4 4 4 6 6 3 4 4 4 4 4 6 6 5 3 4 4 4 4 4 6 6 6 6 3 4 4 4 4 4 6 6 6 6 5 3 4 4 4 4 4 6 6 6 6 6 6 3 4 4 4 4 4 6 6 6 6 6 6 5
0 0 1 0 2 3 0 3 2 1 0 4 4 4 4 0 4 4 4 4 1 0 4 4 4 4 2 3 0 4 4 4 4 3 2 1 5 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 7 5 6 6 6 6 6 6 6 6 7 7 5 6 6 6 6 6 6 6 6 7 7 7 5 6 6 6 6 6 6 6 6 7 7 7 7
